@relation energy_consumption-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute DateTime string
@attribute Consumption numeric
@attribute Production numeric
@attribute Nuclear numeric
@attribute Wind numeric
@attribute Hydroelectric numeric
@attribute Oil_and_Gas numeric
@attribute Coal numeric
@attribute Solar numeric
@attribute Biomass numeric

@data
01/01/2019?0:00,0.430143,0.488814,0.930726,0.037011,0.283635,0.873906,0.648804,0,30
01/01/2019?1:00,0.388928,0.363111,0.928492,0.043003,0.220005,0.633556,0.603189,0,30
01/01/2019?2:00,0.34649,0.359306,0.928492,0.059217,0.200751,0.652084,0.592117,0,30
01/01/2019?3:00,0.313133,0.348197,0.932961,0.076489,0.187133,0.646938,0.56643,0,30
01/01/2019?4:00,0.291303,0.325521,0.928492,0.06521,0.184316,0.646423,0.522143,0,30
01/01/2019?5:00,0.285714,0.315021,0.930726,0.041241,0.183846,0.646938,0.521258,0,30
01/01/2019?6:00,0.283619,0.309542,0.927374,0.043708,0.17915,0.644879,0.514172,0,31
01/01/2019?7:00,0.28554,0.339674,0.927374,0.041946,0.237614,0.642306,0.4938,0,34
01/01/2019?8:00,0.283095,0.328108,0.926257,0.027141,0.270016,0.5965,0.453499,0.007036,34
01/01/2019?9:00,0.301781,0.33937,0.922905,0.014452,0.287157,0.581575,0.460585,0.05365,34
01/01/2019?10:00,0.306322,0.349262,0.92514,0.007402,0.289974,0.583119,0.462799,0.110818,34
01/01/2019?11:00,0.322738,0.367981,0.92514,0.003172,0.287626,0.633042,0.461027,0.16007,34
01/01/2019?12:00,0.329549,0.380612,0.92514,0.00564,0.291383,0.630468,0.477414,0.181179,34
01/01/2019?13:00,0.323961,0.381677,0.924022,0.014452,0.266025,0.624807,0.523472,0.177661,34
01/01/2019?14:00,0.318023,0.366154,0.92514,0.044413,0.251233,0.622748,0.488928,0.140721,33
01/01/2019?15:00,0.336011,0.378786,0.927374,0.077194,0.275417,0.630468,0.464128,0.074758,34
